ps,odd_L_5,odd_L_7,odd_L_9,odd_L_11,odd_L_13,even_L_4,even_L_6,even_L_8,even_L_10,even_L_12
0.005,0.00031666666666666665,0.00035833333333333333,9.166666666666667e-05,2.5e-05,2.5e-05,0.019941666666666667,0.0005916666666666667,0.000425,6.666666666666667e-05,9.166666666666667e-05
0.0060526315789473685,0.0005333333333333334,0.0005333333333333334,0.0002,0.0001,1.6666666666666667e-05,0.024075,0.0009916666666666667,0.0007333333333333333,0.00015,0.0001
0.007105263157894737,0.0007916666666666666,0.0010083333333333333,0.00036666666666666667,0.0002,9.166666666666667e-05,0.028816666666666668,0.0016583333333333333,0.0010333333333333334,0.00045,0.00028333333333333335
0.008157894736842105,0.0011416666666666667,0.00135,0.00055,0.0004333333333333333,0.00031666666666666665,0.03228333333333333,0.0022,0.001525,0.0006416666666666667,0.000525
0.009210526315789475,0.0018666666666666666,0.0019916666666666668,0.000975,0.0007666666666666667,0.0006583333333333334,0.03770833333333334,0.00295,0.0019666666666666665,0.0011166666666666666,0.0008916666666666667
0.010263157894736842,0.0022,0.0028333333333333335,0.001725,0.0012416666666666667,0.001175,0.0421,0.0033666666666666667,0.002625,0.0018083333333333332,0.001275
0.01131578947368421,0.0029333333333333334,0.0038083333333333333,0.0022416666666666665,0.002033333333333333,0.0017583333333333333,0.04591666666666667,0.005,0.00375,0.0025083333333333333,0.0018833333333333334
0.012368421052631579,0.003491666666666667,0.00535,0.003108333333333333,0.003075,0.0027,0.049958333333333334,0.005825,0.005183333333333333,0.003625,0.003533333333333333
0.013421052631578948,0.004991666666666667,0.007266666666666667,0.004141666666666667,0.00395,0.004291666666666667,0.05346666666666667,0.007508333333333333,0.006516666666666666,0.0047083333333333335,0.004366666666666666
0.014473684210526316,0.006008333333333333,0.0083,0.005841666666666667,0.006175,0.006083333333333333,0.058875,0.008916666666666666,0.007841666666666667,0.006491666666666666,0.006183333333333333
0.015526315789473683,0.007066666666666666,0.010083333333333333,0.0075,0.007933333333333334,0.008616666666666667,0.06420833333333334,0.011016666666666666,0.010416666666666666,0.008683333333333333,0.0091
0.016578947368421054,0.009,0.013166666666666667,0.0093,0.010316666666666667,0.011066666666666667,0.06815,0.012883333333333333,0.011708333333333333,0.010316666666666667,0.011333333333333334
0.017631578947368422,0.01035,0.014591666666666666,0.01225,0.013266666666666666,0.014808333333333333,0.07155,0.014866666666666667,0.014675,0.013475,0.014675
0.01868421052631579,0.012341666666666667,0.016883333333333334,0.014916666666666667,0.016041666666666666,0.018866666666666667,0.07645,0.01725,0.016766666666666666,0.016575,0.018308333333333333
0.019736842105263157,0.014325,0.019325,0.017516666666666666,0.02025,0.023933333333333334,0.08069166666666666,0.020583333333333332,0.020316666666666667,0.020191666666666667,0.022458333333333334
0.020789473684210528,0.016316666666666667,0.0227,0.021258333333333334,0.0247,0.02865,0.0864,0.02295,0.023341666666666667,0.024366666666666665,0.027366666666666668
0.021842105263157895,0.017816666666666668,0.026983333333333335,0.026291666666666668,0.028591666666666668,0.035175,0.089025,0.024766666666666666,0.026216666666666666,0.027216666666666667,0.03216666666666667
0.022894736842105263,0.020733333333333333,0.03135,0.02915,0.0353,0.041875,0.09343333333333333,0.02905,0.03141666666666667,0.03320833333333333,0.03944166666666667
0.02394736842105263,0.023066666666666666,0.03415833333333333,0.032883333333333334,0.04090833333333333,0.050091666666666666,0.09860833333333334,0.03225,0.034541666666666665,0.038375,0.04633333333333333
0.025,0.0262,0.03920833333333333,0.038391666666666664,0.04724166666666667,0.058458333333333334,0.10299166666666666,0.035958333333333335,0.040308333333333335,0.04315833333333333,0.05229166666666667
